x,y
5.21,8.457
-5.5,7.629
9.573,14.998
13.944,0.842
10.952,11.553
5.675,-0.488
10.508,-4.183
4.8,4.222
11.039,-3.993
12.19,15.099
4.208,4.692
6.954,9.042
4.639,6.119
-1.527,4.23
10.617,-3.39
15.055,8.779
6.17,-1.406
10.247,4.755
-0.642,3.572
12.057,10.413
8.972,14.833
-5.777,7.641
11.757,10.774
13.924,0.904
11.778,-2.412
7.668,-0.51
10.949,13.927
4.675,4.811
14.347,8.873
14.692,8.148
4.437,6.319
10.552,4.739
-0.702,4.365
12.129,10.216
-5.11,6.742
6.609,8.87
-0.736,3.513
-5.321,6.879
14.279,10.934
-1.212,4.161
12.101,-3.059
9.513,4.92
14.229,10.426
12.007,10.645
5.505,5.602
10.859,11.28
8.752,5.632
6.031,9.11
5.549,5.62
4.839,4.533
3.784,5.454
-5.141,8.314
15.445,10.402
12.064,14.05
10.964,11.288
9.861,5.431
-4.63,8.777
11.62,10.537
9.601,14.487
14.558,0.476
8.936,14.97
12.386,14.664
-0.855,3.267
-5.514,7.772
10.127,15.231
6.876,9.093
-1.27,3.463
12.766,-0.848
-4.85,9.391
-4.503,7.249
11.011,-2.598
15.067,8.561
11.045,-2.746
-1.252,3.76
4.956,5.575
-5.22,7.225
7.84,-0.326
13.471,0.274
13.79,-0.497
14.795,8.349
-4.164,7.532
-5.135,7.07
5.928,-1.632
-1.544,4.063
14.748,10.591
9.68,4.714
4.663,6.429
11.189,10.531
-4.549,8.59
11.748,15.347
-1.539,4.012
15.529,8.954
9.835,14.459
-1.121,3.72
9.734,5.239
-4.904,7.135
14.529,9.82
9.904,5.085
4.938,5.485
13.41,0.098
5.48,9.452
15.609,9.768
10.784,-3.146
15.036,9.491
10.206,-4.287
13.884,-0.453
-0.684,4.118
4.065,4.315
-5.001,9.347
6.63,0.341
9.158,12.973
4.931,4.893
12.11,-3.254
14.153,0.072
-5.675,8.856
11.836,15.017
10.202,11.937
7.209,-0.264
-4.648,7.857
-5.926,7.649
14.589,9.53
-5.255,9.021
7.13,-0.645
15.252,8.505
11.632,-2.068
9.325,4.858
-0.547,4.008
12.313,15.29
11.595,-3.183
-1.138,3.081
5.156,5.06
12.339,15.227
4.119,5.511
11.756,11.232
9.809,-4.518
4.328,3.971
5.148,5.903
9.855,4.589
4.588,7.605
12.057,14.578
13.881,9.368
14.782,8.231
11.405,14.39
6.753,0.136
8.205,5.693
6.693,9.149
9.906,5.149
-0.83,3.971
11.262,11.105
4.809,5.417
11.051,13.485
-1.392,3.971
11.856,-1.856
11.93,10.575
15.169,10.744
-1.475,3.484
-5.987,8.669
4.303,3.943
15.522,11.702
6.919,-0.306
8.506,5.705
7.463,-0.525
10.338,12.313
12.326,14.612
9.331,14.842
-1.277,3.714
11.652,14.49
11.257,10.571
14.066,9.368
-4.788,7.027
9.951,12.505
7.081,-0.337
15.275,10.63
6.959,8.939
12.418,-2.809
6.567,8.937
10.526,12.545
13.127,-0.153
-5.638,7.48
4.843,4.322
7.744,-0.99
4.82,4.008
4.173,7.476
11.104,10.951
10.432,-3.863
15.568,9.067
-0.898,5.147
7.398,-0.194
8.831,5.878
6.87,0.078
7.154,-0.319
6.677,9.179
-4.817,7.415
15.523,8.899
9.98,14.74
11.818,10.423
15.524,11.492
10.218,4.691
4.22,5.641
6.224,-0.103
10.591,-3.988
14.084,1.017
9.931,4.817
4.817,4.096
-0.728,4.318
14.448,0.482
-5.145,8.993
4.435,3.821
12.341,-2.31
-4.999,9.131
-4.493,8.068
12.304,-2.192
11.376,-3.376
5.853,-0.782
15.416,11.115
4.015,4.291
-4.185,7.523
10.755,14.264
-0.948,4.951
5.47,8.261
7.764,-0.886
-1.649,4.809
9.072,14.918
15.123,9.273
14.313,8.932
9.745,4.618
9.867,12.827
11.545,11.335
5.314,6.117
-4.969,9.139
14.653,8.755
12.129,-1.773
-4.23,6.979
5.572,-0.846
-4.608,7.529
4.077,4.167
5.546,9.086
10.651,14.658
-1.229,4.82
6.123,8.611
9.023,4.847
-1.665,5.439
3.865,4.644
15.152,9.531
4.103,7.97
9.903,4.787
-4.774,9.228
11.519,11.423
10.303,-4.174
-5.048,9.325
4.423,6.309
12.402,-2.203
7.214,-0.117
5.072,-1.131
3.763,5.453
4.25,4.026
-0.822,2.378
11.588,14.818
14.183,9.532
6.207,8.438
-6.035,9.033
-1.59,4.098
-1.282,2.704
15.295,9.474
8.794,13.254
10.099,4.98
4.274,8.099
11.284,11.687
6.547,0.3
13.03,-1.017
11.921,-1.736
11.428,14.223
10.964,15.137
6.148,8.625
-0.981,2.577
11.448,14.674
12.714,-2.383
5.311,-1.134
4.477,7.137
4.833,4.199
11.227,11.306
4.028,4.237
9.055,13.051
-5.036,8.825
3.824,7.346
11.509,11.651
-1.29,4.112
6.578,8.64
14.652,10.627
11.449,14.389
13.166,-1.402
4.156,4.232
11.013,13.488
-4.963,8.058
8.897,14.948
10.183,4.606
-4.526,7.916
11.66,14.958
4.732,6.033
-1.534,4.81
9.143,5.001
15.026,9.103
-1.373,3.31
-5.419,7.667
14.586,11.202
14.767,8.627
3.751,7.272
14.518,9.056
5.346,-1.003
13.578,-0.586
12.137,-3.17
-1.602,4.345
8.701,5.648
11.487,11.183
10.098,15.004
14.25,-0.298
3.861,7.366
5.163,-1.012
6.657,0.135
11.631,10.454
-4.498,7.36
4.117,4.166
9.128,12.689
-1.626,5.251
14.337,10.305
5.361,-0.939
-4.745,7.497
4.13,4.032
4.964,8.733
11.502,14.806
3.736,5.63
-1.176,3.882
4.501,8.227
8.362,5.266
9.182,12.705
6.332,8.48
11.052,14.186
15.103,9.027
10.902,14.798
5.285,-0.904
10.528,12.106
4.122,4.133
11.249,13.772
10.206,4.604
9.683,12.658
14.24,-0.176
11.771,11.184
5.187,-1.136
8.945,5.213
15.166,9.205
9.827,12.403
14.51,0.142
7.47,5.543
14.481,9.058
10.663,13.052
14.488,0.492
5.297,5.183
14.055,-0.257
10.29,-3.968
-5.246,8.017
7.658,-0.226
4.837,4.159
10.494,11.925
12.037,14.425
10.69,11.8
5.954,-0.871
11.109,-2.62
-1.701,4.414
9.493,4.591
11.209,14.718
13.784,10.082
15.424,9.758
10.753,14.216
11.641,14.805
9.736,12.553
5.17,-0.895
8.397,5.447
15.183,8.975
6.656,-1.07
12.131,14.531
9.389,14.975
5.7,-0.792
10.907,-3.261
11.173,10.848
14.58,10.924
5.332,-0.677
7.591,5.954
14.895,8.948
-0.54,3.364
11.458,10.93
7.683,-0.681
5.17,-0.664
5.057,5.746
10.485,4.812
10.535,-3.935
-1.576,4.033
4.862,8.212
14.39,0.397
11.229,-3.976
-5.764,7.663
6.81,-1.092
-1.089,3.443
10.984,14.865
6.078,8.398
4.856,5.586
4.118,4.159
10.433,-4.117
6.047,8.404
12.291,-2.823
11.634,10.349
7.348,-0.287
14.756,8.585
11.605,13.731
11.671,14.831
10.757,13.525
10.566,4.914
13.536,-1.004
6.92,8.907
6.968,9.023
11.437,10.856
5.286,8.755
-1.462,3.937
14.089,9.778
11.721,10.526
9.473,13.164
4.277,3.826
15.722,10.658
-5.62,7.908
9.721,12.826
-5.078,8.84
-0.61,3.541
-1.329,4.312
