x,y,z
5.094,5.382,1.22
-1.059,6.364,10.166
9.987,13.014,3.649
12.518,0.613,8.124
10.925,11.015,5.971
6.326,3.299,11.832
10.107,-1.563,3.615
4.002,4.208,5.352
10.682,-1.608,3.867
12.242,11.716,3.444
4.09,3.927,4.406
6.42,4.88,-0.586
4.541,5.461,4.277
0.791,5.615,-2.019
10.364,-2.015,4.354
11.559,9.243,9.151
6.01,3.32,11.067
9.295,4.454,3.542
1.879,5.694,-1.662
11.676,9.864,6.565
9.419,13.293,3.851
-0.975,6.468,10.473
11.72,10.282,6.088
12.566,0.659,8.109
10.83,-1.074,5.043
7.098,2.254,10.698
10.508,11.483,4.054
4.023,4.771,5.041
6.515,2.752,10.412
11.896,8.745,8.978
4.556,5.697,4.115
9.574,4.372,3.289
1.227,6.171,-2.176
11.738,9.757,6.812
-0.498,5.674,9.808
6.058,4.911,-0.332
1.79,5.587,-1.99
-0.554,5.826,9.992
9.325,9.564,8.854
1.05,5.755,-2.114
11.429,-1.056,4.943
8.695,4.66,3.727
9.817,9.377,8.712
11.483,9.899,6.444
5.146,4.881,4.739
10.924,10.991,6.243
8.049,5.258,3.969
5.895,5.399,0.063
5.51,4.891,4.384
4.2,4.392,5.109
3.975,4.425,3.841
-1.532,6.945,9.919
10.083,10.028,9.634
11.649,11.055,3.937
10.898,10.82,6.382
9.052,4.987,3.601
-1.584,7.377,9.339
11.663,10.306,6.484
9.698,12.483,3.783
12.466,0.153,8.529
9.51,13.467,3.946
12.14,11.244,3.566
1.955,5.343,-1.6
-1.15,6.532,10.278
10.61,12.971,3.696
6.454,4.92,-0.586
1.49,5.234,-1.795
11.622,-0.685,6.855
-1.729,7.826,9.529
-0.813,6.005,9.202
10.51,-1.166,4.933
11.739,9.169,9.115
10.626,-1.879,4.965
1.305,5.51,-1.952
4.756,4.804,4.461
-0.98,6.043,9.819
7.37,2.542,10.375
12.207,0.22,7.546
11.917,-0.343,7.734
11.84,8.891,9.016
4.581,5.389,2.589
-0.815,5.889,9.824
5.784,3.434,11.115
0.896,5.507,-1.922
9.789,9.537,9.215
8.643,4.49,3.628
4.832,5.553,3.954
11.68,10.737,6.542
-1.52,7.117,9.276
11.959,12.1,3.291
0.957,5.426,-1.888
11.452,9.548,9.437
9.985,12.532,3.993
1.264,5.61,-1.763
9.01,4.854,3.879
-0.768,5.954,9.535
10.376,9.343,8.9
8.988,4.762,3.568
4.681,4.742,4.451
12.343,0.119,7.459
5.799,5.884,0.561
10.828,10.024,9.432
10.55,-1.963,4.669
